json_path,tag,detail,n_events,H0_map,H0_edge,p50,p16,p84,mean,sd,slope_event,slope_sel,slope_total,delta_event,delta_sel,delta_total,exp_event_per_event,ess_min_min,ess_min_median,finite_frac_min,b_median,dropped_events
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,baseline,none,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_ess,>=0,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_ess,>=1,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_ess,>=10,29,172.5,interior,170.64193041186275,152.90253881489772,186.92749079527445,170.0490120564274,16.090703812621822,35.48804179707005,-11.874770953294117,23.613270843775933,61.9098253012045,-30.398252179776854,31.511573121427645,1.3264392155903761,28.28872738993486,6061.213452146141,1.0,1.3928849116083368,GW191127_050227;GW191230_180458;GW200208_222617;GW200216_220804
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_ess,>=100,26,183.5,interior,178.97528885856568,162.01281180840016,192.4800276475532,177.46308813712932,14.514952056787932,35.084647393365024,-10.646346371918865,24.438301021446158,60.28407105750097,-27.25360540255856,33.03046565494241,1.44063843636536,199.29294871255635,9047.063976448459,1.0,1.3978380807054005,GW191109_010717;GW191127_050227;GW191230_180458;GW200208_222617;GW200216_220804;GW200219_094415;GW200220_124850
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_ess,>=1000,20,200.0,high,189.10682591997008,175.978882724458,196.94250075525832,186.86704598041092,10.711262432478701,34.97086675909491,-8.189497209168357,26.78136954992655,57.39397627365092,-20.96431184812197,36.429664425528955,1.7830441246052409,1455.2695485191634,13047.399695513624,1.0,1.856314815054732,GW191109_010717;GW191127_050227;GW191215_223052;GW191222_033537;GW191230_180458;GW200128_022011;GW200208_130117;GW200208_222617;GW200209_085452;GW200216_220804;GW200219_094415;GW200220_124850;GW200306_093714
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_finite_frac,>=0,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_finite_frac,>=0.5,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,min_finite_frac,>=0.9,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,drop_worst_ess,0,33,175.0,interior,174.97654571781385,171.594467390207,180.41245927182922,175.9635070531842,5.8883612905818525,36.067887974805245,-13.512670395127788,22.555217579677453,58.61530838164791,-34.59111454940125,24.024193832246663,1.1036284484091718,1.0249202569471045,3156.0965228717346,1.0,1.3469764272795122,
outputs/gate2_realdata_fixedzmax_20260203_190502UTC/fixed_wide/json/gr_h0_selection_on_inv_sampling_pdf.json,drop_worst_ess,1,32,150.5,interior,153.24517037205567,138.5532659200756,170.3354446931352,154.52289894584555,15.963543826363795,31.51336959517921,-13.103195534669375,18.410174060509842,56.71538924918471,-33.54289895699515,23.172490292189558,1.1012266458645343,3.5098592727188724,4430.152631839427,1.0,1.2951607378758503,GW191127_050227
