json_path,dropped_event,drop_ess_min,drop_finite_frac,drop_b,drop_H0_map_ev,base_n_events,loo_n_events,base_H0_map,loo_H0_map,delta_H0_map,base_p50,loo_p50,delta_p50,base_mean,loo_mean,delta_mean,base_sd,loo_sd,delta_sd,kl_base_to_loo
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200208_222617,1.0007247861043829,1.0,-2.8384194636104882,67.33333333333333,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,184.8732548722247,4.63950371716507,175.03422498505597,181.36356607775355,6.329341092697575,16.86465790057251,14.582867100359891,-2.281790800212619,0.24942781315239262
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200115_042309,3928.8438842676032,1.0,2.5437985507491985,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,175.95509736767454,-4.278653787385082,175.03422498505597,170.17871340220603,-4.855511582849942,16.86465790057251,19.519207003236065,2.6545491026635553,0.03371062675551231
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200129_065458,2691.4762092098385,1.0,2.7038370152515037,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,176.0015413694892,-4.232209785570433,175.03422498505597,170.19920770607035,-4.835017278985617,16.86465790057251,19.550450552505165,2.6857926519326547,0.0333852425956349
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200105_162426,3280.776907978008,1.0,2.499816018179279,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,176.0734395216529,-4.160311633406735,175.03422498505597,170.33540814596358,-4.6988168390923875,16.86465790057251,19.45272488870437,2.5880669881318603,0.03174022589493254
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191216_213338,4233.779530514175,1.0,2.3440375155314275,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,176.44225077002454,-3.7915003850350786,175.03422498505597,170.840860036963,-4.193364948092977,16.86465790057251,19.229299532586587,2.3646416320140773,0.02574047751675525
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191219_163120,3846.246994897655,1.0,2.381435744903268,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,176.462064253128,-3.7716869019316164,175.03422498505597,170.85757258280034,-4.176652402255627,16.86465790057251,19.232078276042895,2.3674203754703846,0.02554094072375238
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200202_154313,4267.809885159789,1.0,2.2413340781460716,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,176.6400981904937,-3.5936529645659334,175.03422498505597,171.1170090699724,-3.917215915083574,16.86465790057251,19.099137170021212,2.234479269448702,0.022697835972917427
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191109_010717,1164.9472015147762,1.0,2.516629098962331,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,176.90086666751782,-3.332884487541804,175.03422498505597,171.24557092383606,-3.7886540612199155,16.86465790057251,19.113866951821084,2.249209051248574,0.0213275754386444
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200208_130117,86.70983351512292,1.0,0.5452513919154343,106.0,25,24,190.66666666666666,192.0,1.3333333333333428,180.23375115505962,183.18420892489968,2.9504577698400567,175.03422498505597,178.62294659994544,3.588721614889465,16.86465790057251,14.536133288597808,-2.328524611974702,0.027499771894158302
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191204_171526,4127.130009115411,1.0,1.9626885997672945,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,177.47660457355173,-2.7571465815078966,175.03422498505597,171.8886258674105,-3.1455991176454745,16.86465790057251,18.724543433730275,1.8598855331577653,0.015092171976629348
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200128_022011,25.687397947562648,1.0,-0.02980882049257395,102.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,182.9290662603577,2.6953151052980786,175.03422498505597,178.356883751585,3.322658766529031,16.86465790057251,14.62666263454998,-2.23799526602253,0.024278734297719366
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW191129_134029,3609.325142002341,1.0,1.8504236238905598,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,177.7100936766948,-2.523657478364811,175.03422498505597,172.12230235432597,-2.911922630730004,16.86465790057251,18.601161910216028,1.736504009643518,0.013061336192901663
outputs/siren_gate2_popmarg_realdata_lvk50_20260205_005345UTC/json/gr_h0_selection_on_lvk_0000.json,GW200210_092254,3487.6773548268143,1.0,1.9218506027663615,200.0,25,24,190.66666666666666,190.66666666666666,0.0,180.23375115505962,177.87623078451045,-2.3575203705491674,175.03422498505597,172.22795585114753,-2.806269133908444,16.86465790057251,18.599279476272592,1.734621575700082,0.01220385112504292
