out_dir,json_path,selection_mode,det_model,weight_mode,pop_z_mode,pop_mass_mode,n_events,H0_min,H0_max,H0_n,H0_map,H0_edge,slope_event,slope_sel,slope_total,delta_event,delta_sel,delta_total,exp_event_per_event
outputs/siren_gate2_gr_h0_masspeak_zmax062_volscale_20260203_053915UTC,outputs/siren_gate2_gr_h0_masspeak_zmax062_volscale_20260203_053915UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-47.357908353923506,,-47.357908353923506,-49.69672342623414,,-49.69672342623414,-1.3707850635570669
outputs/siren_gate2_gr_h0_masspeak_zmax062_volscale_20260203_053915UTC,outputs/siren_gate2_gr_h0_masspeak_zmax062_volscale_20260203_053915UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,40.0,low,-47.357908353923506,-28.360334560300675,-75.71824291422418,-49.69672342623414,-34.557141726183524,-84.25386515241769,-1.3707850635570669
outputs/siren_gate2_gr_h0_masspeak_zmax2_20260203_054955UTC,outputs/siren_gate2_gr_h0_masspeak_zmax2_20260203_054955UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,201,140.0,high,67.10830684170557,,67.10830684170557,86.16976148631332,,86.16976148631332,2.084356705291853
outputs/siren_gate2_gr_h0_masspeak_zmax2_20260203_054955UTC,outputs/siren_gate2_gr_h0_masspeak_zmax2_20260203_054955UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,201,140.0,high,67.10830684170557,-35.094338124717986,32.013968716987584,86.16976148631332,-50.39135128998849,35.77841019632483,2.084356705291853
outputs/siren_gate2_gr_h0_masspeak_zmax2_popzvol_20260203_055149UTC,outputs/siren_gate2_gr_h0_masspeak_zmax2_popzvol_20260203_055149UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,201,40.0,low,-31.891693158294437,,-31.891693158294437,-37.853772394727685,,-37.853772394727685,-0.9156432947081374
outputs/siren_gate2_gr_h0_masspeak_zmax2_popzvol_20260203_055149UTC,outputs/siren_gate2_gr_h0_masspeak_zmax2_popzvol_20260203_055149UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,201,40.0,low,-31.891693158294437,-35.094338124717986,-66.98603128301244,-37.853772394727685,-50.39135128998849,-88.24512368471619,-0.9156432947081374
outputs/siren_gate2_gr_h0_masspeak_zmax2_weightnone_20260203_055706UTC,outputs/siren_gate2_gr_h0_masspeak_zmax2_weightnone_20260203_055706UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,201,140.0,high,67.10830684170557,,67.10830684170557,86.16976148631332,,86.16976148631332,2.084356705291853
outputs/siren_gate2_gr_h0_masspeak_zmax2_weightnone_20260203_055706UTC,outputs/siren_gate2_gr_h0_masspeak_zmax2_weightnone_20260203_055706UTC/json/gr_h0_selection_on_none.json,on,snr_mchirp_binned,none,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,140.0,201,40.0,low,67.10830684170557,-67.94485116080806,-0.8365443191025125,86.16976148631332,-92.96033437252487,-6.790572886211539,2.084356705291853
outputs/siren_gate2_gr_h0_masspeak_zmode_none_zmax2_20260203_055426UTC,outputs/siren_gate2_gr_h0_masspeak_zmode_none_zmax2_20260203_055426UTC/json/gr_h0_selection_off.json,off,,,none,powerlaw_peak_q_smooth,33,40.0,140.0,201,140.0,high,29.49365319263421,,29.49365319263421,38.14270070458825,,38.14270070458825,0.9226321693390852
outputs/siren_gate2_gr_h0_masspeak_zmode_none_zmax2_20260203_055426UTC,outputs/siren_gate2_gr_h0_masspeak_zmode_none_zmax2_20260203_055426UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,none,powerlaw_peak_q_smooth,33,40.0,140.0,201,140.0,high,29.49365319263421,-14.744929395515557,14.748723797118652,38.14270070458825,-19.16035170983727,18.982348994750986,0.9226321693390852
outputs/siren_gate2_gr_h0_mchirpdet_pop_20260203_035313UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_20260203_035313UTC/json/gr_h0_selection_off.json,off,,,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,,70.9066483675994,79.223086273217,,79.223086273217,2.185210932737099
outputs/siren_gate2_gr_h0_mchirpdet_pop_20260203_035313UTC,outputs/siren_gate2_gr_h0_mchirpdet_pop_20260203_035313UTC/json/gr_h0_selection_on_inv_sampling_pdf.json,on,snr_mchirp_binned,inv_sampling_pdf,comoving_uniform,powerlaw_peak_q_smooth,33,40.0,120.0,161,120.0,high,70.9066483675994,-62.032136362362,8.874512005237412,79.223086273217,-67.17255702613757,12.050529247079439,2.185210932737099
